LC_Input,FSR
3013.37,1764.0
3013.37,1764.0
3013.37,1763.0
3013.37,1764.0
3013.37,1765.0
2959.39,1763.0
2986.37,1766.0
2959.39,1764.0
3013.37,1769.0
3013.37,1764.0
3013.37,1765.0
3013.37,1768.0
3013.37,1765.0
3013.37,1769.0
3013.37,1766.0
3013.37,1766.0
3013.37,1762.0
3013.37,1767.0
3013.37,1766.0
3013.37,1764.0
3013.37,1766.0
2959.39,1764.0
3013.37,1766.0
3013.37,1764.0
3013.37,1765.0
3013.37,1765.0
3013.37,1764.0
2959.39,1766.0
3013.37,1766.0
2959.39,1764.0
3013.37,1766.0
3013.37,1763.0
2959.39,1764.0
3013.37,1764.0
3013.37,1760.0
3013.37,1765.0
2959.39,1766.0
2986.37,1760.0
3013.37,1764.0
3013.37,1767.0
2986.37,1764.0
2986.37,1766.0
3013.37,1763.0
3040.38,1762.0
3013.37,1766.0
2986.37,1763.0
3013.37,1762.0
3013.37,1767.0
3013.37,1761.0
2986.37,1766.0
2959.39,1763.0
3013.37,1766.0
2959.39,1766.0
3013.37,1762.0
3013.37,1767.0
3013.37,1769.0
2986.37,1766.0
2959.39,1765.0
2986.37,1767.0
2959.39,1767.0
2986.37,1769.0
2986.37,1766.0
2986.37,1765.0
3013.37,1767.0
2986.37,1766.0
2986.37,1768.0
2986.37,1768.0
2986.37,1764.0
3013.37,1766.0
2959.39,1766.0
3013.37,1764.0
2986.37,1766.0
2959.39,1765.0
2986.37,1765.0
2932.41,1768.0
2959.39,1767.0
3013.37,1761.0
3013.37,1767.0
3040.38,1770.0
3013.37,1766.0
3013.37,1765.0
3040.38,1764.0
3040.38,1765.0
3013.37,1763.0
3013.37,1765.0
3040.38,1769.0
3013.37,1765.0
2986.37,1768.0
3013.37,1768.0
3067.41,1764.0
3013.37,1766.0
3013.37,1767.0
3013.37,1764.0
3013.37,1769.0
2986.37,1772.0
3013.37,1768.0
3013.37,1769.0
3013.37,1764.0
3013.37,1768.0
3040.38,1767.0
3040.38,1765.0
3013.37,1768.0
3013.37,1766.0
3013.37,1765.0
3013.37,1768.0
3013.37,1764.0
2986.37,1764.0
3013.37,1765.0
3013.37,1766.0
3013.37,1765.0
3013.37,1767.0
3013.37,1764.0
3040.38,1763.0
3040.38,1769.0
3013.37,1767.0
3013.37,1768.0
2959.39,1765.0
3013.37,1768.0
3013.37,1765.0
3013.37,1765.0
3013.37,1767.0
2986.37,1768.0
3013.37,1767.0
3013.37,1767.0
3013.37,1766.0
3013.37,1762.0
3013.37,1769.0
3013.37,1766.0
3013.37,1769.0
3013.37,1768.0
3013.37,1768.0
3013.37,1764.0
3013.37,1765.0
2959.39,1766.0
3013.37,1764.0
3013.37,1764.0
3040.38,1762.0
3013.37,1764.0
3013.37,1765.0
3013.37,1763.0
3013.37,1766.0
3013.37,1765.0
2959.39,1766.0
2959.39,1764.0
2986.37,1765.0
2986.37,1763.0
3013.37,1764.0
2959.39,1762.0
3013.37,1768.0
3013.37,1764.0
2986.37,1763.0
3013.37,1769.0
3013.37,1765.0
2959.39,1767.0
2986.37,1764.0
2986.37,1769.0
3013.37,1764.0
2959.39,1764.0
3013.37,1768.0
3013.37,1764.0
3013.37,1766.0
3013.37,1765.0
2986.37,1767.0
3013.37,1762.0
3013.37,1764.0
2959.39,1763.0
3013.37,1765.0
2986.37,1764.0
3013.37,1764.0
3013.37,1766.0
2959.39,1764.0
2959.39,1766.0
2986.37,1766.0
2959.39,1765.0
3040.38,1766.0
2986.37,1765.0
2986.37,1764.0
2986.37,1766.0
2986.37,1764.0
2959.39,1765.0
2986.37,1765.0
3013.37,1764.0
2986.37,1761.0
2986.37,1764.0
2959.39,1764.0
2986.37,1768.0
2986.37,1764.0
3013.37,1767.0
2986.37,1766.0
2986.37,1764.0
3013.37,1766.0
2986.37,1766.0
3013.37,1764.0
3013.37,1764.0
2959.39,1766.0
2932.41,1766.0
3013.37,1762.0
2986.37,1765.0
3013.37,1767.0
2986.37,1766.0
3040.38,1768.0
2959.39,1765.0
2986.37,1768.0
2959.39,1768.0
3013.37,1763.0
2932.41,1767.0
2932.41,1763.0
2986.37,1764.0
2959.39,1766.0
2959.39,1768.0
2986.37,1767.0
2932.41,1768.0
3013.37,1765.0
3013.37,1762.0
3013.37,1769.0
3013.37,1767.0
3013.37,1768.0
2986.37,1771.0
3013.37,1767.0
2986.37,1770.0
3013.37,1770.0
2959.39,1768.0
2959.39,1769.0
2932.41,1768.0
3013.37,1771.0
3040.38,1771.0
3040.38,1768.0
3013.37,1769.0
3040.38,1768.0
3040.38,1765.0
3067.41,1767.0
3040.38,1767.0
3040.38,1769.0
3067.41,1772.0
2986.37,1772.0
2986.37,1770.0
2986.37,1768.0
3013.37,1769.0
3040.38,1768.0
3040.38,1768.0
3040.38,1768.0
3040.38,1768.0
3040.38,1771.0
3013.37,1767.0
3040.38,1769.0
3013.37,1771.0
